,LogisticRegression,RandomForest,XGBoost
accuracy,0.7981520966595593,0.7882018479033405,0.7782515991471215
precision,0.6355421686746988,0.6301369863013698,0.5890804597701149
recall,0.5641711229946524,0.4919786096256685,0.5481283422459893
f1,0.5977337110481586,0.5525525525525525,0.5678670360110804
